x_soleil,y_soleil,x_terre,y_terre
0,0,0.8,0
9.04005e-09,0,0.796987,0.076953
3.60461e-08,1.7347e-09,0.787985,0.153328
8.06802e-08,6.89952e-09,0.773107,0.228559
1.42394e-07,1.71136e-08,0.752535,0.302107
2.20447e-07,3.38875e-08,0.726518,0.373469
3.13937e-07,5.85966e-08,0.695354,0.442186
4.21826e-07,9.24618e-08,0.659391,0.50785
5.42972e-07,1.36538e-07,0.619009,0.570111
6.76163e-07,1.91707e-07,0.574612,0.628674
8.20145e-07,2.58683e-07,0.526618,0.683302
9.73649e-07,3.38014e-07,0.47545,0.733812
1.13541e-06,4.30094e-07,0.421529,0.780071
1.30421e-06,5.35179e-07,0.365265,0.821996
1.47883e-06,6.53397e-07,0.307056,0.859543
1.65816e-06,7.84764e-07,0.247281,0.892707
1.8411e-06,9.29204e-07,0.186299,0.921513
2.02666e-06,1.08656e-06,0.124446,0.946015
2.21389e-06,1.2566e-06,0.0620375,0.966287
2.40191e-06,1.43905e-06,-0.000636684,0.982424
2.58992e-06,1.63358e-06,-0.0633083,0.994533
2.77719e-06,1.83984e-06,-0.125731,1.00273
2.96304e-06,2.05743e-06,-0.18768,1.00715
3.14685e-06,2.28597e-06,-0.248949,1.00793
3.32806e-06,2.52502e-06,-0.309353,1.0052
3.50616e-06,2.77417e-06,-0.36872,0.999102
3.6807e-06,3.03299e-06,-0.426898,0.989782
3.85124e-06,3.30104e-06,-0.483748,0.977383
4.01743e-06,3.57792e-06,-0.539144,0.962045
4.17892e-06,3.86318e-06,-0.592972,0.943911
4.33539e-06,4.15642e-06,-0.64513,0.923118
4.48658e-06,4.45722e-06,-0.695526,0.899804
4.63223e-06,4.76518e-06,-0.744077,0.874102
4.77212e-06,5.07991e-06,-0.790707,0.846145
4.90605e-06,5.40102e-06,-0.835351,0.816061
5.03384e-06,5.72813e-06,-0.877946,0.783976
5.15531e-06,6.06088e-06,-0.918438,0.750014
5.27033e-06,6.3989e-06,-0.956778,0.714295
5.37877e-06,6.74183e-06,-0.992923,0.676936
5.4805e-06,7.08934e-06,-1.02683,0.638053
5.57541e-06,7.44108e-06,-1.05847,0.597759
5.66342e-06,7.79672e-06,-1.08781,0.556164
5.74443e-06,8.15594e-06,-1.11481,0.513378
5.81837e-06,8.51842e-06,-1.13946,0.469506
5.88517e-06,8.88383e-06,-1.16172,0.424654
5.94477e-06,9.25188e-06,-1.18159,0.378924
5.99712e-06,9.62226e-06,-1.19904,0.332419
6.04216e-06,9.99465e-06,-1.21405,0.285239
6.07987e-06,1.03688e-05,-1.22662,0.237484
6.11019e-06,1.07443e-05,-1.23673,0.189254
6.13311e-06,1.1121e-05,-1.24437,0.140645
6.1486e-06,1.14985e-05,-1.24953,0.0917562
6.15663e-06,1.18766e-05,-1.25221,0.0426851
6.15719e-06,1.22549e-05,-1.2524,-0.00647088
6.15028e-06,1.26332e-05,-1.25009,-0.0556139
6.13588e-06,1.30112e-05,-1.24529,-0.104646
6.114e-06,1.33885e-05,-1.238,-0.153468
6.08463e-06,1.37649e-05,-1.22821,-0.201982
6.0478e-06,1.41401e-05,-1.21593,-0.250085
6.00351e-06,1.45137e-05,-1.20117,-0.297678
5.95178e-06,1.48855e-05,-1.18393,-0.344656
5.89265e-06,1.52551e-05,-1.16422,-0.390916
5.82615e-06,1.56223e-05,-1.14205,-0.436351
5.75232e-06,1.59867e-05,-1.11744,-0.480852
5.67122e-06,1.63479e-05,-1.09041,-0.52431
5.58289e-06,1.67057e-05,-1.06096,-0.566611
5.48743e-06,1.70596e-05,-1.02914,-0.607639
5.38489e-06,1.74094e-05,-0.994963,-0.647277
5.27538e-06,1.77546e-05,-0.958461,-0.685403
