x_sol,y_sol,x_mer,y_mer,x_ven,y_ven,x_ter,y_ter,x_mar,y_mar
0,0,0.387,0,0.723,0,1,0,1.524,0
1.70782e-10,9.34604e-313,0.38688,0.0101001,0.722963,0.00738943,0.999981,0.00628319,1.52399,0.00508964
6.83101e-10,3.62423e-12,0.386522,0.0201939,0.722853,0.0147781,0.999922,0.0125661,1.52397,0.0101792
1.53687e-09,1.44954e-11,0.385924,0.0302752,0.72267,0.0221653,0.999825,0.0188486,1.52392,0.0152687
2.73196e-09,3.62335e-11,0.385088,0.0403379,0.722413,0.0295502,0.999689,0.0251303,1.52386,0.020358
4.26815e-09,7.24539e-11,0.384014,0.0503756,0.722083,0.0369321,0.999514,0.031411,1.52379,0.0254471
6.14522e-09,1.26766e-10,0.382704,0.0603823,0.721679,0.0443103,0.9993,0.0376906,1.5237,0.0305359
8.36284e-09,2.02773e-10,0.381157,0.0703518,0.721202,0.051684,0.999047,0.0439686,1.52359,0.0356243
1.09207e-08,3.04069e-10,0.379376,0.0802779,0.720652,0.0590524,0.998756,0.050245,1.52346,0.0407124
1.38182e-08,4.34236e-10,0.377362,0.0901547,0.720029,0.0664148,0.998425,0.0565193,1.52332,0.0458
1.70551e-08,5.96848e-10,0.375116,0.0999762,0.719333,0.0737705,0.998056,0.0627915,1.52316,0.0508871
2.06308e-08,7.95465e-10,0.37264,0.109736,0.718564,0.0811188,0.997648,0.0690613,1.52298,0.0559737
2.45447e-08,1.03363e-09,0.369937,0.11943,0.717722,0.0884587,0.997201,0.0753284,1.52278,0.0610596
2.87961e-08,1.31488e-09,0.367007,0.12905,0.716807,0.0957897,0.996715,0.0815925,1.52257,0.0661448
3.33845e-08,1.64272e-09,0.363854,0.138591,0.715819,0.103111,0.996191,0.0878535,1.52235,0.0712294
3.8309e-08,2.02065e-09,0.36048,0.148049,0.714759,0.110422,0.995628,0.094111,1.5221,0.0763131
4.35688e-08,2.45215e-09,0.356887,0.157416,0.713626,0.117721,0.995026,0.100365,1.52184,0.081396
4.91632e-08,2.94068e-09,0.353079,0.166689,0.712421,0.125009,0.994385,0.106615,1.52156,0.0864779
5.50912e-08,3.48966e-09,0.349058,0.175861,0.711143,0.132284,0.993706,0.112861,1.52126,0.0915589
6.1352e-08,4.10252e-09,0.344826,0.184927,0.709794,0.139546,0.992988,0.119102,1.52095,0.0966389
6.79445e-08,4.78264e-09,0.340389,0.193882,0.708372,0.146793,0.992232,0.125339,1.52062,0.101718
7.48677e-08,5.5334e-09,0.335747,0.202722,0.706879,0.154026,0.991437,0.131571,1.52028,0.106796
8.21205e-08,6.35812e-09,0.330906,0.21144,0.705314,0.161243,0.990603,0.137798,1.51991,0.111872
8.97019e-08,7.26014e-09,0.325869,0.220034,0.703678,0.168443,0.989731,0.144019,1.51954,0.116948
9.76106e-08,8.24273e-09,0.320639,0.228497,0.70197,0.175627,0.98882,0.150235,1.51914,0.122022
